instruction,input,output,context,text,bidirectional
Respond to this interview question professionally,why do you want this job?,"In my previous role, I focused on organizing solutions which resulted in operational excellence",,"### Instruction: Respond to this interview question professionally
### Input: why do you want this job?
### Response: In my previous role, I focused on organizing solutions which resulted in operational excellence",
Translate this corporate speak to plain English,We're gaining traction on facilitateing our stakeholders,We're gaining traction on facilitateing our stakeholders,,"### Instruction: Translate this corporate speak to plain English
### Input: We're gaining traction on facilitateing our stakeholders
### Response: We're gaining traction on facilitateing our stakeholders",
Ask a professional interview question,interviewer response to: tell me about yourself,We're excited to discuss how your technical expertise align with our capabilities,,"### Instruction: Ask a professional interview question
### Input: interviewer response to: tell me about yourself
### Response: We're excited to discuss how your technical expertise align with our capabilities",
Generate a professional response in manufacturing style,"it's going okay, hit a few snags","We're making steady progress, though we've encountered some production delays that we're actively addressing.","{'domain': 'manufacturing', 'seniority': 3, 'relationship': 'superior'}","### Instruction: Generate a professional response in manufacturing style
### Input: it's going okay, hit a few snags
### Response: We're making steady progress, though we've encountered some production delays that we're actively addressing.",
Create feature announcement content,feature request response,We're excited to introduce analytics dashboards that will deliver improved ROI,,"### Instruction: Create feature announcement content
### Input: feature request response
### Response: We're excited to introduce analytics dashboards that will deliver improved ROI",
Transform this to professional corporate communication,Let me know when it's done,Let's catch up on this to ensure we're managing our stakeholders effectively,,"### Instruction: Transform this to professional corporate communication
### Input: Let me know when it's done
### Response: Let's catch up on this to ensure we're managing our stakeholders effectively",
Transform to corporate speak,let's meet,Let's sync up to align on our objectives,,"### Instruction: Transform to corporate speak
### Input: let's meet
### Response: Let's sync up to align on our objectives",True
Translate this corporate speak to plain English,It would be beneficial to bandwidth,It would be beneficial to time,,"### Instruction: Translate this corporate speak to plain English
### Input: It would be beneficial to bandwidth
### Response: It would be beneficial to time",
Create investor communication content,board presentation,The market opportunity for expectations aligns with our digital readiness priorities,,"### Instruction: Create investor communication content
### Input: board presentation
### Response: The market opportunity for expectations aligns with our digital readiness priorities",
Create board presentation content,quarterly update,We've successfully aligned our sustainability initiatives resulting in improved strategic milestone achievements,,"### Instruction: Create board presentation content
### Input: quarterly update
### Response: We've successfully aligned our sustainability initiatives resulting in improved strategic milestone achievements",
